Extractive Summary,Abstractive Summary
by . associated press . published: .,bishop john folda of the fargo catholic diocese in north dakota has exposed potentially hundreds of church members to the hepatitis a virus in late september and early october . the state health department has issued an advisory of exposure for anyone who attended five churches .
"(cnn) -- ralph mata was an internal affairs lieutenant for the miami-dade police department, working in the division that investigates allegations of wrongdoing by cops. outside the office, authorities allege that the 45-year-old longtime officer worked with a drug trafficking organization to help plan a murder plot and get guns. a criminal complaint unsealed in u.s. district court in new jersey tuesday accuses mata, also known as ""the milk man,"" of using his role as a police officer to help the drug trafficking organization in exchange for money and gifts, including a rolex watch.",ralph mata was an internal affairs lieutenant for the miami-dade police department . he worked in the division that investigates allegations of wrongdoing by cops . mata worked with a drug trafficking organization to plan a murder plot and get guns .
"a drunk driver who killed a young woman in a head-on crash while checking his mobile phone has been jailed for six years. craig eccleston-todd, 27, was driving home from a night at a pub when he received a text message. as he was reading or replying to it, he veered across the road while driving round a bend and smashed into rachel titley’s car coming the other way.","craig eccleston-todd, 27, was driving home from a night at a pub when he received a text message . as he was reading or replying to it, he veered across the road while driving round a bend and smashed into rachel titley’s car coming the other way . she was killed in a head-on crash while checking his mobile phone . "
"(cnn) -- with a breezy sweep of his pen president vladimir putin wrote a new chapter into crimea's turbulent history, committing the region to a future returned to russian domain. sixty years prior, ukraine's breakaway peninsula was signed away just as swiftly by soviet leader nikita khrushchev. but dealing with such a blatant land grab on its eastern flank won't be anywhere near as quick and easy for europe's 28-member union.",ukraine's breakaway peninsula was signed away as swiftly by soviet leader nikita khrushchev . crimea's rushed referendum won't be anywhere near as quick and easy for europe's 28-member union . everyone has a say in dealing with such a blatant land grab .
"fleetwood are the only team still to have a 100% record in sky bet league one as a 2-0 win over scunthorpe sent graham alexander’s men top of the table. the cod army are playing in the third tier for the first time in their history after six promotions in nine years and their remarkable ascent shows no sign of slowing with jamie proctor and gareth evans scoring the goals at glanford park. fleetwood were one of five teams to have won two out of two but the other four clubs - peterborough, bristol city, chesterfield and crawley - all hit their first stumbling blocks.",fleetwood are the only team still to have a 100% record in sky bet league one . the cod army are playing in the third tier for the first time in their history . jamie proctor and gareth evans scored the goals at glanford park .
he's been accused of making many a fashion faux pas while on holiday. but the prime minister seems to be deaf to his critics. yesterday david cameron was seen in the same pair of beige loafers he wore on holiday last year.,pm seen in same pair of beige loafers he wore on holiday last year . he got £20.99 shoes from high street store aldo and took them to portugal .
by . daily mail reporter . published: .,magic johnson became the face of hiv/aids 22 years ago . the former los angeles lakers player says he is still surprised at the impact the news had .
by . daily mail reporter . this is the moment a train announcer stunned passengers by announcing over a tannoy as they pulled into a station to beware of pickpockets and gipsies.,"london midland service had been pulling into telford station, shropshire, on saturday . passenger chris downes, 46, was recording on his mobile at the time . announcer can clearly be heard saying: 'telford central - please be aware of pickpockets and gipsies'"
"there are a number of job descriptions waiting for darren fletcher when he settles in at west brom but the one he might not have expected is saido berahino’s nanny. fletcher’s unveiling as the deadline day signing from manchester united was almost eclipsed by the 21-year-old striker, who is acquiring the habit of talking himself into trouble. ten years berahino’s senior, fletcher will be expected to mentor a player who told the world this week that he wanted to play for a bigger club.",darren fletcher will be expected to mentor a player who told the world this week that he wanted to play for a bigger club . the 21-year-old striker is acquiring the habit of talking himself into trouble .
"canberra, australia (cnn) -- at first glance, it doesn't look like much. hidden behind an unmarked door, in a nondescript government office building in the australian capital, it could be mistaken for a high school science classroom with work benches, slightly outdated computer monitors, and the odd microscope sitting in the corner. but what happens in this room is anything but amateur.",australian transport safety bureau's accident investigation lab is the place where the black boxes from maldives are found . cnn's john mccartney is a spokesman for the australian transportation safety bureau . the lab is located in a nondescript government office building in canberra .
